EVENT,BOUT,ROUND,FIGHTER,SIG.STR. LANDED,SIG.STR. ATTEMPTED,SIG.STR. %,TOTAL STR. LANDED,TOTAL STR. ATTEMPTED,TD LANDED,TD ATTEMPTED,TD %
UFC Fight Night: Rozenstruik vs. Gaziev,Jairzinho Rozenstruik vs. Shamil Gaziev,Round 2,Jairzinho Rozenstruik,19,41,46.0,26,48,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Jairzinho Rozenstruik vs. Shamil Gaziev,Round 3,Jairzinho Rozenstruik,47,75,62.0,47,75,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Jairzinho Rozenstruik vs. Shamil Gaziev,Round 4,Jairzinho Rozenstruik,48,68,70.0,52,73,0,1,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Jairzinho Rozenstruik vs. Shamil Gaziev,Round 1,Shamil Gaziev,8,18,44.0,12,23,1,3,33.0
UFC Fight Night: Rozenstruik vs. Gaziev,Jairzinho Rozenstruik vs. Shamil Gaziev,Round 2,Shamil Gaziev,7,19,36.0,7,19,0,2,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Jairzinho Rozenstruik vs. Shamil Gaziev,Round 3,Shamil Gaziev,5,19,26.0,5,19,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Jairzinho Rozenstruik vs. Shamil Gaziev,Round 4,Shamil Gaziev,2,12,16.0,3,14,0,2,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Vitor Petrino vs. Tyson Pedro,Round 1,Vitor Petrino,10,28,35.0,10,28,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Vitor Petrino vs. Tyson Pedro,Round 2,Vitor Petrino,10,30,33.0,10,30,0,1,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Vitor Petrino vs. Tyson Pedro,Round 3,Vitor Petrino,7,17,41.0,13,24,3,4,75.0
UFC Fight Night: Rozenstruik vs. Gaziev,Vitor Petrino vs. Tyson Pedro,Round 1,Tyson Pedro,11,24,45.0,11,24,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Vitor Petrino vs. Tyson Pedro,Round 2,Tyson Pedro,14,22,63.0,14,23,0,2,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Vitor Petrino vs. Tyson Pedro,Round 3,Tyson Pedro,5,14,35.0,8,17,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Round 1,Alex Perez,12,41,29.0,12,41,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Round 2,Alex Perez,13,29,44.0,18,39,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Round 3,Alex Perez,5,17,29.0,17,34,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Round 1,Muhammad Mokaev,29,60,48.0,32,69,1,6,16.0
UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Round 2,Muhammad Mokaev,8,17,47.0,9,18,1,7,14.0
UFC Fight Night: Rozenstruik vs. Gaziev,Alex Perez vs. Muhammad Mokaev,Round 3,Muhammad Mokaev,10,27,37.0,15,32,1,7,14.0
UFC Fight Night: Rozenstruik vs. Gaziev,Umar Nurmagomedov vs. Bekzat Almakhan,Round 1,Umar Nurmagomedov,7,8,87.0,43,49,1,1,100.0
UFC Fight Night: Rozenstruik vs. Gaziev,Umar Nurmagomedov vs. Bekzat Almakhan,Round 2,Umar Nurmagomedov,39,60,65.0,52,83,3,3,100.0
UFC Fight Night: Rozenstruik vs. Gaziev,Umar Nurmagomedov vs. Bekzat Almakhan,Round 3,Umar Nurmagomedov,22,30,73.0,50,65,1,1,100.0
UFC Fight Night: Rozenstruik vs. Gaziev,Umar Nurmagomedov vs. Bekzat Almakhan,Round 1,Bekzat Almakhan,2,3,66.0,3,7,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Umar Nurmagomedov vs. Bekzat Almakhan,Round 2,Bekzat Almakhan,0,8,0.0,0,9,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Umar Nurmagomedov vs. Bekzat Almakhan,Round 3,Bekzat Almakhan,1,5,20.0,2,9,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Matt Schnell vs. Steve Erceg,Round 1,Matt Schnell,20,69,28.0,23,75,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Matt Schnell vs. Steve Erceg,Round 2,Matt Schnell,2,9,22.0,2,9,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Matt Schnell vs. Steve Erceg,Round 1,Steve Erceg,32,67,47.0,32,67,0,1,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Matt Schnell vs. Steve Erceg,Round 2,Steve Erceg,2,5,40.0,2,5,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Eryk Anders vs. Jamie Pickett,Round 1,Eryk Anders,7,19,36.0,20,32,1,6,16.0
UFC Fight Night: Rozenstruik vs. Gaziev,Eryk Anders vs. Jamie Pickett,Round 2,Eryk Anders,10,23,43.0,33,59,2,4,50.0
UFC Fight Night: Rozenstruik vs. Gaziev,Eryk Anders vs. Jamie Pickett,Round 3,Eryk Anders,6,17,35.0,30,56,2,3,66.0
UFC Fight Night: Rozenstruik vs. Gaziev,Eryk Anders vs. Jamie Pickett,Round 1,Jamie Pickett,8,19,42.0,9,21,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Eryk Anders vs. Jamie Pickett,Round 2,Jamie Pickett,11,24,45.0,14,28,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Eryk Anders vs. Jamie Pickett,Round 3,Jamie Pickett,1,12,8.0,3,15,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira vs. Benardo Sopaj,Round 1,Vinicius Oliveira,7,31,22.0,9,34,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira vs. Benardo Sopaj,Round 2,Vinicius Oliveira,17,31,54.0,36,54,2,3,66.0
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira vs. Benardo Sopaj,Round 3,Vinicius Oliveira,43,82,52.0,43,82,0,1,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira vs. Benardo Sopaj,Round 1,Benardo Sopaj,14,26,53.0,33,48,2,2,100.0
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira vs. Benardo Sopaj,Round 2,Benardo Sopaj,18,24,75.0,46,62,1,2,50.0
UFC Fight Night: Rozenstruik vs. Gaziev,Vinicius Oliveira vs. Benardo Sopaj,Round 3,Benardo Sopaj,13,36,36.0,13,36,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Round 1,Aiemann Zahabi,12,38,31.0,12,38,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Round 2,Aiemann Zahabi,26,58,44.0,26,58,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Round 3,Aiemann Zahabi,37,78,47.0,39,80,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Round 1,Javid Basharat,14,56,25.0,14,56,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Round 2,Javid Basharat,28,73,38.0,28,73,0,3,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Aiemann Zahabi vs. Javid Basharat,Round 3,Javid Basharat,25,76,32.0,25,76,0,1,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Christian Leroy Duncan vs. Claudio Ribeiro,Round 1,Christian Leroy Duncan,41,61,67.0,48,70,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Christian Leroy Duncan vs. Claudio Ribeiro,Round 2,Christian Leroy Duncan,24,31,77.0,27,35,1,2,50.0
UFC Fight Night: Rozenstruik vs. Gaziev,Christian Leroy Duncan vs. Claudio Ribeiro,Round 1,Claudio Ribeiro,3,20,15.0,12,33,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Christian Leroy Duncan vs. Claudio Ribeiro,Round 2,Claudio Ribeiro,1,6,16.0,1,6,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Ludovit Klein vs. AJ Cunningham,Round 1,Ludovit Klein,60,91,65.0,63,95,2,3,66.0
UFC Fight Night: Rozenstruik vs. Gaziev,Ludovit Klein vs. AJ Cunningham,Round 1,AJ Cunningham,36,75,48.0,36,77,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Abdul-Kareem Al-Selwady vs. Loik Radzhabov,Round 1,Abdul-Kareem Al-Selwady,12,26,46.0,17,33,0,1,0.0
UFC Fight Night: Rozenstruik vs. Gaziev,Abdul-Kareem Al-Selwady vs. Loik Radzhabov,Round 2,Abdul-Kareem Al-Selwady,22,33,66.0,29,42,2,5,40.0
UFC Fight Night: Rozenstruik vs. Gaziev,Abdul-Kareem Al-Selwady vs. Loik Radzhabov,Round 3,Abdul-Kareem Al-Selwady,4,9,44.0,4,9,1,1,100.0
UFC Fight Night: Rozenstruik vs. Gaziev,Abdul-Kareem Al-Selwady vs. Loik Radzhabov,Round 1,Loik Radzhabov,14,35,40.0,25,49,4,4,100.0
UFC Fight Night: Rozenstruik vs. Gaziev,Abdul-Kareem Al-Selwady vs. Loik Radzhabov,Round 2,Loik Radzhabov,12,34,35.0,18,43,0,0,
UFC Fight Night: Rozenstruik vs. Gaziev,Abdul-Kareem Al-Selwady vs. Loik Radzhabov,Round 3,Loik Radzhabov,13,21,61.0,14,23,0,1,0.0
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 1,Brandon Moreno,15,23,65.0,15,23,0,0,
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 2,Brandon Moreno,22,45,48.0,22,46,1,1,100.0
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 3,Brandon Moreno,17,31,54.0,17,31,2,3,66.0
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 4,Brandon Moreno,29,58,50.0,29,58,0,1,0.0
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 5,Brandon Moreno,29,54,53.0,36,61,0,0,
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 1,Brandon Royval,12,43,27.0,12,43,0,0,
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 2,Brandon Royval,18,87,20.0,22,91,0,0,
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 3,Brandon Royval,25,79,31.0,26,81,0,1,0.0
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 4,Brandon Royval,49,161,30.0,60,179,1,1,100.0
UFC Fight Night: Moreno vs. Royval 2,Brandon Moreno vs. Brandon Royval,Round 5,Brandon Royval,41,140,29.0,57,162,0,0,
UFC Fight Night: Moreno vs. Royval 2,Yair Rodriguez vs. Brian Ortega,Round 1,Yair Rodriguez,45,91,49.0,50,102,0,1,0.0
UFC Fight Night: Moreno vs. Royval 2,Yair Rodriguez vs. Brian Ortega,Round 2,Yair Rodriguez,9,17,52.0,13,26,0,0,
UFC Fight Night: Moreno vs. Royval 2,Yair Rodriguez vs. Brian Ortega,Round 3,Yair Rodriguez,1,7,14.0,1,7,0,0,
UFC Fight Night: Moreno vs. Royval 2,Yair Rodriguez vs. Brian Ortega,Round 1,Brian Ortega,6,28,21.0,7,30,1,2,50.0
UFC Fight Night: Moreno vs. Royval 2,Yair Rodriguez vs. Brian Ortega,Round 2,Brian Ortega,22,44,50.0,39,70,1,3,33.0
UFC Fight Night: Moreno vs. Royval 2,Yair Rodriguez vs. Brian Ortega,Round 3,Brian Ortega,0,1,0.0,1,4,1,1,100.0
UFC Fight Night: Moreno vs. Royval 2,Daniel Zellhuber vs. Francisco Prado,Round 1,Daniel Zellhuber,27,60,45.0,27,60,0,0,
UFC Fight Night: Moreno vs. Royval 2,Daniel Zellhuber vs. Francisco Prado,Round 2,Daniel Zellhuber,50,110,45.0,50,110,0,0,
UFC Fight Night: Moreno vs. Royval 2,Daniel Zellhuber vs. Francisco Prado,Round 3,Daniel Zellhuber,43,102,42.0,43,102,0,0,
UFC Fight Night: Moreno vs. Royval 2,Daniel Zellhuber vs. Francisco Prado,Round 1,Francisco Prado,29,73,39.0,29,75,0,0,
UFC Fight Night: Moreno vs. Royval 2,Daniel Zellhuber vs. Francisco Prado,Round 2,Francisco Prado,32,88,36.0,33,89,0,0,
UFC Fight Night: Moreno vs. Royval 2,Daniel Zellhuber vs. Francisco Prado,Round 3,Francisco Prado,29,85,34.0,29,85,0,0,
UFC Fight Night: Moreno vs. Royval 2,Yazmin Jauregui vs. Sam Hughes,Round 1,Yazmin Jauregui,28,88,31.0,29,89,0,0,
UFC Fight Night: Moreno vs. Royval 2,Yazmin Jauregui vs. Sam Hughes,Round 2,Yazmin Jauregui,32,91,35.0,33,92,0,0,
UFC Fight Night: Moreno vs. Royval 2,Yazmin Jauregui vs. Sam Hughes,Round 3,Yazmin Jauregui,34,90,37.0,35,91,0,0,
UFC Fight Night: Moreno vs. Royval 2,Yazmin Jauregui vs. Sam Hughes,Round 1,Sam Hughes,19,47,40.0,21,52,0,3,0.0
UFC Fight Night: Moreno vs. Royval 2,Yazmin Jauregui vs. Sam Hughes,Round 2,Sam Hughes,36,75,48.0,39,78,0,2,0.0
UFC Fight Night: Moreno vs. Royval 2,Yazmin Jauregui vs. Sam Hughes,Round 3,Sam Hughes,28,75,37.0,28,76,0,1,0.0
UFC Fight Night: Moreno vs. Royval 2,Manuel Torres vs. Chris Duncan,Round 1,Manuel Torres,3,5,60.0,5,7,2,2,100.0
UFC Fight Night: Moreno vs. Royval 2,Manuel Torres vs. Chris Duncan,Round 1,Chris Duncan,1,2,50.0,1,2,1,3,33.0
UFC Fight Night: Moreno vs. Royval 2,Cristian Quinonez vs. Raoni Barcelos,Round 1,Cristian Quinonez,4,20,20.0,17,35,2,6,33.0
UFC Fight Night: Moreno vs. Royval 2,Cristian Quinonez vs. Raoni Barcelos,Round 2,Cristian Quinonez,18,49,36.0,19,51,0,1,0.0
UFC Fight Night: Moreno vs. Royval 2,Cristian Quinonez vs. Raoni Barcelos,Round 3,Cristian Quinonez,7,13,53.0,7,13,0,0,
UFC Fight Night: Moreno vs. Royval 2,Cristian Quinonez vs. Raoni Barcelos,Round 1,Raoni Barcelos,12,16,75.0,13,18,1,5,20.0
UFC Fight Night: Moreno vs. Royval 2,Cristian Quinonez vs. Raoni Barcelos,Round 2,Raoni Barcelos,20,44,45.0,22,46,0,6,0.0
UFC Fight Night: Moreno vs. Royval 2,Cristian Quinonez vs. Raoni Barcelos,Round 3,Raoni Barcelos,11,14,78.0,13,17,1,1,100.0
UFC Fight Night: Moreno vs. Royval 2,Jesus Aguilar vs. Mateus Mendonca,Round 1,Jesus Aguilar,7,11,63.0,14,22,0,1,0.0
UFC Fight Night: Moreno vs. Royval 2,Jesus Aguilar vs. Mateus Mendonca,Round 2,Jesus Aguilar,6,14,42.0,17,27,1,3,33.0
UFC Fight Night: Moreno vs. Royval 2,Jesus Aguilar vs. Mateus Mendonca,Round 3,Jesus Aguilar,6,11,54.0,7,13,0,0,
UFC Fight Night: Moreno vs. Royval 2,Jesus Aguilar vs. Mateus Mendonca,Round 1,Mateus Mendonca,1,4,25.0,7,12,2,5,40.0
UFC Fight Night: Moreno vs. Royval 2,Jesus Aguilar vs. Mateus Mendonca,Round 2,Mateus Mendonca,13,27,48.0,16,34,1,2,50.0
UFC Fight Night: Moreno vs. Royval 2,Jesus Aguilar vs. Mateus Mendonca,Round 3,Mateus Mendonca,4,9,44.0,20,44,1,1,100.0
UFC Fight Night: Moreno vs. Royval 2,Edgar Chairez vs. Daniel Lacerda,Round 1,Edgar Chairez,9,15,60.0,9,15,0,0,
UFC Fight Night: Moreno vs. Royval 2,Edgar Chairez vs. Daniel Lacerda,Round 1,Daniel Lacerda,4,17,23.0,7,22,1,1,100.0
UFC Fight Night: Moreno vs. Royval 2,Claudio Puelles vs. Fares Ziam,Round 1,Claudio Puelles,2,4,50.0,6,9,3,5,60.0
UFC Fight Night: Moreno vs. Royval 2,Claudio Puelles vs. Fares Ziam,Round 2,Claudio Puelles,0,3,0.0,4,11,1,3,33.0
UFC Fight Night: Moreno vs. Royval 2,Claudio Puelles vs. Fares Ziam,Round 3,Claudio Puelles,2,2,100.0,7,7,3,5,60.0
UFC Fight Night: Moreno vs. Royval 2,Claudio Puelles vs. Fares Ziam,Round 1,Fares Ziam,9,17,52.0,18,26,0,0,
UFC Fight Night: Moreno vs. Royval 2,Claudio Puelles vs. Fares Ziam,Round 2,Fares Ziam,14,20,70.0,23,32,0,0,
UFC Fight Night: Moreno vs. Royval 2,Claudio Puelles vs. Fares Ziam,Round 3,Fares Ziam,8,11,72.0,17,24,0,0,
UFC Fight Night: Moreno vs. Royval 2,Ronaldo Rodriguez vs. Denys Bondar,Round 1,Ronaldo Rodriguez,14,38,36.0,17,43,0,0,
UFC Fight Night: Moreno vs. Royval 2,Ronaldo Rodriguez vs. Denys Bondar,Round 2,Ronaldo Rodriguez,17,31,54.0,33,50,0,0,
UFC Fight Night: Moreno vs. Royval 2,Ronaldo Rodriguez vs. Denys Bondar,Round 1,Denys Bondar,31,46,67.0,32,50,2,4,50.0
UFC Fight Night: Moreno vs. Royval 2,Ronaldo Rodriguez vs. Denys Bondar,Round 2,Denys Bondar,10,17,58.0,14,27,2,2,100.0
UFC Fight Night: Moreno vs. Royval 2,Victor Altamirano vs. Felipe dos Santos,Round 1,Victor Altamirano,9,23,39.0,14,36,6,7,85.0
UFC Fight Night: Moreno vs. Royval 2,Victor Altamirano vs. Felipe dos Santos,Round 2,Victor Altamirano,13,22,59.0,17,28,2,2,100.0
UFC Fight Night: Moreno vs. Royval 2,Victor Altamirano vs. Felipe dos Santos,Round 3,Victor Altamirano,18,29,62.0,21,33,1,2,50.0
UFC Fight Night: Moreno vs. Royval 2,Victor Altamirano vs. Felipe dos Santos,Round 1,Felipe dos Santos,6,21,28.0,14,31,0,0,
UFC Fight Night: Moreno vs. Royval 2,Victor Altamirano vs. Felipe dos Santos,Round 2,Felipe dos Santos,14,35,40.0,25,49,0,0,
UFC Fight Night: Moreno vs. Royval 2,Victor Altamirano vs. Felipe dos Santos,Round 3,Felipe dos Santos,17,31,54.0,23,40,0,0,
UFC Fight Night: Moreno vs. Royval 2,Erik Silva vs. Muhammad Naimov,Round 1,Erik Silva,0,1,0.0,0,1,0,0,
UFC Fight Night: Moreno vs. Royval 2,Erik Silva vs. Muhammad Naimov,Round 1,Muhammad Naimov,1,2,50.0,3,4,1,1,100.0
UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Round 1,Alexander Volkanovski,26,52,50.0,26,52,0,0,
UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Round 2,Alexander Volkanovski,21,55,38.0,21,55,0,0,
UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Round 1,Ilia Topuria,15,38,39.0,16,39,0,0,
UFC 298: Volkanovski vs. Topuria,Alexander Volkanovski vs. Ilia Topuria,Round 2,Ilia Topuria,20,39,51.0,20,39,0,0,
UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,Round 1,Robert Whittaker,38,62,61.0,38,62,0,0,
UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,Round 2,Robert Whittaker,32,55,58.0,32,55,0,0,
UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,Round 3,Robert Whittaker,25,58,43.0,25,58,0,1,0.0
UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,Round 1,Paulo Costa,27,49,55.0,27,49,0,0,
UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,Round 2,Paulo Costa,26,54,48.0,26,54,0,0,
UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,Round 3,Paulo Costa,14,48,29.0,14,48,0,0,
UFC 298: Volkanovski vs. Topuria,Geoff Neal vs. Ian Machado Garry,Round 1,Geoff Neal,18,27,66.0,19,28,0,0,
UFC 298: Volkanovski vs. Topuria,Geoff Neal vs. Ian Machado Garry,Round 2,Geoff Neal,17,34,50.0,23,41,0,0,
UFC 298: Volkanovski vs. Topuria,Geoff Neal vs. Ian Machado Garry,Round 3,Geoff Neal,11,28,39.0,15,33,0,0,
UFC 298: Volkanovski vs. Topuria,Geoff Neal vs. Ian Machado Garry,Round 1,Ian Machado Garry,20,38,52.0,22,40,0,0,
UFC 298: Volkanovski vs. Topuria,Geoff Neal vs. Ian Machado Garry,Round 2,Ian Machado Garry,23,43,53.0,31,51,0,0,
UFC 298: Volkanovski vs. Topuria,Geoff Neal vs. Ian Machado Garry,Round 3,Ian Machado Garry,24,54,44.0,27,57,0,0,
UFC 298: Volkanovski vs. Topuria,Merab Dvalishvili vs. Henry Cejudo,Round 1,Merab Dvalishvili,16,32,50.0,42,59,1,2,50.0
UFC 298: Volkanovski vs. Topuria,Merab Dvalishvili vs. Henry Cejudo,Round 2,Merab Dvalishvili,34,78,43.0,49,94,2,4,50.0
UFC 298: Volkanovski vs. Topuria,Merab Dvalishvili vs. Henry Cejudo,Round 3,Merab Dvalishvili,24,62,38.0,76,120,2,5,40.0
UFC 298: Volkanovski vs. Topuria,Merab Dvalishvili vs. Henry Cejudo,Round 1,Henry Cejudo,11,20,55.0,36,48,0,0,
UFC 298: Volkanovski vs. Topuria,Merab Dvalishvili vs. Henry Cejudo,Round 2,Henry Cejudo,9,29,31.0,9,29,1,5,20.0
UFC 298: Volkanovski vs. Topuria,Merab Dvalishvili vs. Henry Cejudo,Round 3,Henry Cejudo,9,29,31.0,9,29,0,2,0.0
UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,Round 1,Anthony Hernandez,20,42,47.0,23,45,1,11,9.0
UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,Round 2,Anthony Hernandez,14,35,40.0,16,37,2,3,66.0
UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,Round 1,Roman Kopylov,16,29,55.0,21,34,0,0,
UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,Round 2,Roman Kopylov,19,28,67.0,20,29,0,0,
UFC 298: Volkanovski vs. Topuria,Amanda Lemos vs. Mackenzie Dern,Round 1,Amanda Lemos,11,23,47.0,11,23,0,0,
UFC 298: Volkanovski vs. Topuria,Amanda Lemos vs. Mackenzie Dern,Round 2,Amanda Lemos,24,51,47.0,27,54,1,1,100.0
UFC 298: Volkanovski vs. Topuria,Amanda Lemos vs. Mackenzie Dern,Round 3,Amanda Lemos,6,6,100.0,9,9,1,1,100.0
UFC 298: Volkanovski vs. Topuria,Amanda Lemos vs. Mackenzie Dern,Round 1,Mackenzie Dern,8,22,36.0,19,33,1,1,100.0
UFC 298: Volkanovski vs. Topuria,Amanda Lemos vs. Mackenzie Dern,Round 2,Mackenzie Dern,8,24,33.0,11,28,0,1,0.0
UFC 298: Volkanovski vs. Topuria,Amanda Lemos vs. Mackenzie Dern,Round 3,Mackenzie Dern,5,8,62.0,20,24,0,1,0.0
UFC 298: Volkanovski vs. Topuria,Marcos Rogerio de Lima vs. Junior Tafa,Round 1,Marcos Rogerio de Lima,27,36,75.0,55,66,1,3,33.0
UFC 298: Volkanovski vs. Topuria,Marcos Rogerio de Lima vs. Junior Tafa,Round 2,Marcos Rogerio de Lima,6,10,60.0,8,12,0,0,
UFC 298: Volkanovski vs. Topuria,Marcos Rogerio de Lima vs. Junior Tafa,Round 1,Junior Tafa,6,18,33.0,10,22,0,0,
UFC 298: Volkanovski vs. Topuria,Marcos Rogerio de Lima vs. Junior Tafa,Round 2,Junior Tafa,5,9,55.0,7,11,0,0,
UFC 298: Volkanovski vs. Topuria,Rinya Nakamura vs. Carlos Vera,Round 1,Rinya Nakamura,16,31,51.0,24,41,1,1,100.0
UFC 298: Volkanovski vs. Topuria,Rinya Nakamura vs. Carlos Vera,Round 2,Rinya Nakamura,12,18,66.0,25,36,2,2,100.0
UFC 298: Volkanovski vs. Topuria,Rinya Nakamura vs. Carlos Vera,Round 3,Rinya Nakamura,10,21,47.0,24,37,0,0,
UFC 298: Volkanovski vs. Topuria,Rinya Nakamura vs. Carlos Vera,Round 1,Carlos Vera,6,8,75.0,18,25,0,0,
UFC 298: Volkanovski vs. Topuria,Rinya Nakamura vs. Carlos Vera,Round 2,Carlos Vera,2,6,33.0,15,21,0,0,
UFC 298: Volkanovski vs. Topuria,Rinya Nakamura vs. Carlos Vera,Round 3,Carlos Vera,4,11,36.0,22,33,0,0,
UFC 298: Volkanovski vs. Topuria,Zhang Mingyang vs. Brendson Ribeiro,Round 1,Zhang Mingyang,17,28,60.0,17,28,0,0,
UFC 298: Volkanovski vs. Topuria,Zhang Mingyang vs. Brendson Ribeiro,Round 1,Brendson Ribeiro,14,31,45.0,14,31,0,0,
UFC 298: Volkanovski vs. Topuria,Josh Quinlan vs. Danny Barlow,Round 1,Josh Quinlan,11,37,29.0,11,37,0,0,
UFC 298: Volkanovski vs. Topuria,Josh Quinlan vs. Danny Barlow,Round 2,Josh Quinlan,21,41,51.0,21,41,0,1,0.0
UFC 298: Volkanovski vs. Topuria,Josh Quinlan vs. Danny Barlow,Round 3,Josh Quinlan,7,12,58.0,7,12,0,0,
UFC 298: Volkanovski vs. Topuria,Josh Quinlan vs. Danny Barlow,Round 1,Danny Barlow,35,69,50.0,35,69,0,0,
UFC 298: Volkanovski vs. Topuria,Josh Quinlan vs. Danny Barlow,Round 2,Danny Barlow,36,79,45.0,36,79,0,0,
UFC 298: Volkanovski vs. Topuria,Josh Quinlan vs. Danny Barlow,Round 3,Danny Barlow,24,37,64.0,25,38,0,0,
UFC 298: Volkanovski vs. Topuria,Oban Elliott vs. Val Woodburn,Round 1,Oban Elliott,28,40,70.0,51,66,1,2,50.0
UFC 298: Volkanovski vs. Topuria,Oban Elliott vs. Val Woodburn,Round 2,Oban Elliott,23,40,57.0,53,75,1,1,100.0
UFC 298: Volkanovski vs. Topuria,Oban Elliott vs. Val Woodburn,Round 3,Oban Elliott,19,31,61.0,32,47,1,2,50.0
UFC 298: Volkanovski vs. Topuria,Oban Elliott vs. Val Woodburn,Round 1,Val Woodburn,5,17,29.0,5,18,0,0,
UFC 298: Volkanovski vs. Topuria,Oban Elliott vs. Val Woodburn,Round 2,Val Woodburn,6,20,30.0,6,20,1,1,100.0
UFC 298: Volkanovski vs. Topuria,Oban Elliott vs. Val Woodburn,Round 3,Val Woodburn,12,24,50.0,19,32,1,1,100.0
UFC 298: Volkanovski vs. Topuria,Andrea Lee vs. Miranda Maverick,Round 1,Andrea Lee,12,31,38.0,14,33,2,2,100.0
UFC 298: Volkanovski vs. Topuria,Andrea Lee vs. Miranda Maverick,Round 2,Andrea Lee,9,34,26.0,14,39,0,1,0.0
UFC 298: Volkanovski vs. Topuria,Andrea Lee vs. Miranda Maverick,Round 3,Andrea Lee,15,37,40.0,31,54,0,0,
UFC 298: Volkanovski vs. Topuria,Andrea Lee vs. Miranda Maverick,Round 1,Miranda Maverick,24,43,55.0,31,51,1,2,50.0
